[12:14:09] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:14] [main/INFO]: Reloading ResourceManager: Default
[12:14:15] [Worker-Main-6/INFO]: Loaded 7 recipes
[12:14:16] [Worker-Main-6/INFO]: Loaded 927 advancements
[12:14:42] [Server thread/INFO]: Starting minecraft server version 1.16.1
[12:14:42] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[12:14:42] [Server thread/INFO]: Loading properties
[12:14:42] [Server thread/INFO]: Default game type: SURVIVAL
[12:14:42] [Server thread/INFO]: Generating keypair
[12:14:42] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:1.8.0_251]
	at java.io.FileInputStream.read(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedInputStream.read1(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedInputStream.read(Unknown Source) ~[?:1.8.0_251]
	at sun.nio.cs.StreamDecoder.readBytes(Unknown Source) ~[?:1.8.0_251]
	at sun.nio.cs.StreamDecoder.implRead(Unknown Source) ~[?:1.8.0_251]
	at sun.nio.cs.StreamDecoder.read(Unknown Source) ~[?:1.8.0_251]
	at java.io.InputStreamReader.read(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedReader.fill(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_251]
	at yd$1.run(SourceFile:90) [server.jar:?]
[12:14:44] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:14:44] [Server thread/INFO]: Using default channel type
[12:14:47] [Server thread/INFO]: Preparing level "world"
[12:15:18] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:18] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:19] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:19] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:20] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:20] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:21] [Worker-Main-7/INFO]: Preparing spawn area: 9%
[12:15:21] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:22] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:22] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:23] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:23] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:24] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:24] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:25] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:25] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:26] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:26] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:27] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:28] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:28] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:28] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:29] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:29] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:30] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:30] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:31] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:31] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[12:15:32] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:32] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:33] [Worker-Main-7/INFO]: Preparing spawn area: 13%
[12:15:33] [Worker-Main-8/INFO]: Preparing spawn area: 13%
[12:15:34] [Worker-Main-8/INFO]: Preparing spawn area: 13%
[12:15:34] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:35] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:36] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:36] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:36] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:37] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:38] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:38] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:38] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:39] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:40] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:40] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:40] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:41] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:41] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:42] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:42] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:43] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:44] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:44] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:44] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:45] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:45] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:46] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:46] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:47] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:47] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:48] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:48] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:49] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:49] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:50] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:50] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:51] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:51] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:52] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:52] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:53] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:53] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:54] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:54] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:55] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:55] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:56] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:56] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:57] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:57] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:58] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:58] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:15:59] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:15:59] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:00] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:00] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:01] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:02] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:02] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:02] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:03] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:04] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:04] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:04] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:05] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:05] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:06] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:06] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:07] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:07] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:08] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:08] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:09] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:09] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:10] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:10] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:11] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:11] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:12] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:12] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:13] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:13] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:14] [Worker-Main-8/INFO]: Preparing spawn area: 16%
[12:16:14] [Worker-Main-7/INFO]: Preparing spawn area: 16%
[12:16:15] [Worker-Main-7/INFO]: Preparing spawn area: 22%
[12:16:15] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:16] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:16] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:17] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:17] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:18] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:18] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:19] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:19] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:20] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:20] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:21] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:21] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:22] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:22] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:23] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:23] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:24] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:24] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:25] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:25] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:26] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:26] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:27] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:28] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:28] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:28] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:29] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:29] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:30] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:30] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:31] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:31] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:32] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:32] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:33] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:33] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:34] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:34] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:35] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:35] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:36] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:36] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:37] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:37] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:38] [Worker-Main-7/INFO]: Preparing spawn area: 25%
[12:16:38] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:39] [Worker-Main-9/INFO]: Preparing spawn area: 25%
[12:16:40] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:40] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:40] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:41] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:41] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:42] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:42] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:43] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:43] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:44] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:44] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:45] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:45] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:46] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:46] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:47] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:48] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:48] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:48] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:49] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:49] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[12:16:50] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:50] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:53] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:53] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:53] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:53] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:53] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:53] [Worker-Main-8/INFO]: Preparing spawn area: 31%
[12:16:56] [Worker-Main-9/INFO]: Preparing spawn area: 33%
[12:16:56] [Worker-Main-8/INFO]: Preparing spawn area: 33%
[12:16:56] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[12:17:20] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:20] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[12:17:21] [Worker-Main-7/INFO]: Preparing spawn area: 34%
[12:17:22] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:22] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-7/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-7/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-7/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[12:17:42] [Worker-Main-7/INFO]: Preparing spawn area: 38%
